Code,Area,price_m_2001
E01000001,City of London 001A,52000.00
E01000002,City of London 001B,55750.00
E01000003,City of London 001C,57500.00
E01000005,City of London 001E,58747.50
E01032739,City of London 001F,59000.00
E01032740,City of London 001G,60000.00
E01000006,Barking and Dagenham 016A,62500.00
E01000007,Barking and Dagenham 015A,63000.00
E01000008,Barking and Dagenham 015B,63750.00
E01000009,Barking and Dagenham 016B,64000.00
E01000010,Barking and Dagenham 015C,64995.00
E01000011,Barking and Dagenham 016C,65000.00
E01000012,Barking and Dagenham 015D,65000.00
E01000013,Barking and Dagenham 013A,65000.00
E01000014,Barking and Dagenham 013B,65500.00
E01000015,Barking and Dagenham 009A,65500.00
E01000016,Barking and Dagenham 009B,66000.00
E01000017,Barking and Dagenham 009C,67000.00
E01000018,Barking and Dagenham 009D,67800.00
E01000019,Barking and Dagenham 023A,68495.00
E01000020,Barking and Dagenham 023B,68500.00
E01000021,Barking and Dagenham 008A,68500.00
E01000022,Barking and Dagenham 008B,68750.00
E01000023,Barking and Dagenham 008C,69000.00
E01000024,Barking and Dagenham 008D,69000.00
E01000025,Barking and Dagenham 008E,69500.00
E01000027,Barking and Dagenham 001A,69500.00
E01000028,Barking and Dagenham 001B,69747.50
E01000029,Barking and Dagenham 001C,69750.00
E01000030,Barking and Dagenham 001D,69995.00
E01000031,Barking and Dagenham 002A,69995.00
E01000032,Barking and Dagenham 002B,70500.00
E01000033,Barking and Dagenham 006A,70500.00
E01000034,Barking and Dagenham 003A,71000.00
E01000035,Barking and Dagenham 010A,71000.00
E01000036,Barking and Dagenham 010B,71000.00
E01000037,Barking and Dagenham 003B,72000.00
E01000038,Barking and Dagenham 003C,72000.00
E01000039,Barking and Dagenham 003D,72000.00
E01000040,Barking and Dagenham 019A,73000.00
E01000041,Barking and Dagenham 017A,73000.00
E01000042,Barking and Dagenham 017B,73000.00
E01000043,Barking and Dagenham 019B,74000.00
E01000044,Barking and Dagenham 016D,74000.00
E01000045,Barking and Dagenham 017C,74000.00
E01000046,Barking and Dagenham 017D,74000.00
E01000048,Barking and Dagenham 021B,74000.00
E01000049,Barking and Dagenham 021C,74000.00
E01000050,Barking and Dagenham 019C,74500.00
E01000051,Barking and Dagenham 021D,74995.00
E01000052,Barking and Dagenham 019D,74995.00
E01000053,Barking and Dagenham 020A,74995.00
E01000054,Barking and Dagenham 018A,74995.00
E01000055,Barking and Dagenham 018B,75000.00
E01000056,Barking and Dagenham 018C,75000.00
E01000057,Barking and Dagenham 012A,75000.00
E01000058,Barking and Dagenham 018D,75747.50
E01000059,Barking and Dagenham 013C,75750.00
E01000060,Barking and Dagenham 006B,75997.50
E01000061,Barking and Dagenham 006C,76000.00
E01000062,Barking and Dagenham 006D,76000.00
E01000063,Barking and Dagenham 004A,76000.00
E01000064,Barking and Dagenham 006E,76000.00
E01000065,Barking and Dagenham 007A,76500.00
E01000066,Barking and Dagenham 011A,77000.00
E01000067,Barking and Dagenham 011B,77000.00
E01000068,Barking and Dagenham 016E,77000.00
E01000069,Barking and Dagenham 011C,77000.00
E01000070,Barking and Dagenham 011D,77497.50
E01000071,Barking and Dagenham 011E,77500.00
E01000072,Barking and Dagenham 017E,77950.00
E01000073,Barking and Dagenham 012B,77995.00
E01000074,Barking and Dagenham 012C,78000.00
E01000075,Barking and Dagenham 012D,78000.00
E01000076,Barking and Dagenham 012E,78000.00
E01000077,Barking and Dagenham 008F,78000.00
E01000078,Barking and Dagenham 007B,78000.00
E01000079,Barking and Dagenham 009E,78000.00
E01000080,Barking and Dagenham 007C,78000.00
E01000081,Barking and Dagenham 007D,78450.00
E01000082,Barking and Dagenham 007E,78500.00
E01000083,Barking and Dagenham 007F,78500.00
E01000084,Barking and Dagenham 013D,78515.00
E01000085,Barking and Dagenham 013E,78749.50
E01000086,Barking and Dagenham 013F,78975.00
E01000087,Barking and Dagenham 020B,78997.50
E01000088,Barking and Dagenham 020C,79000.00
E01000089,Barking and Dagenham 020D,79000.00
E01000090,Barking and Dagenham 020E,79000.00
E01000091,Barking and Dagenham 022A,79250.00
E01000092,Barking and Dagenham 019E,79497.50
E01000093,Barking and Dagenham 022B,79500.00
E01000094,Barking and Dagenham 022C,79500.00
E01000095,Barking and Dagenham 018E,79500.00
E01000096,Barking and Dagenham 022D,79500.00
E01000097,Barking and Dagenham 023C,79950.00
E01000098,Barking and Dagenham 023D,79975.00
E01000099,Barking and Dagenham 023E,79995.00
E01000100,Barking and Dagenham 004B,79995.00
E01000101,Barking and Dagenham 004C,79997.50
E01000102,Barking and Dagenham 007G,80000.00
E01000103,Barking and Dagenham 014A,80000.00
E01000104,Barking and Dagenham 014B,80000.00
E01000105,Barking and Dagenham 014C,80000.00
E01000106,Barking and Dagenham 014D,80000.00
E01000107,Barking and Dagenham 010C,80000.00
E01000108,Barking and Dagenham 010D,80000.00
E01000109,Barking and Dagenham 004D,80000.00
E01000110,Barking and Dagenham 002C,80000.00
E01000111,Barking and Dagenham 002D,80000.00
E01000112,Barking and Dagenham 002E,80000.00
E01000113,Barking and Dagenham 002F,80000.00
E01000114,Barking and Dagenham 004E,80247.50
E01032580,Barking and Dagenham 023F,80250.00
E01033587,Barking and Dagenham 021E,80750.00
E01033588,Barking and Dagenham 021F,81000.00
E01000115,Barnet 009A,81000.00
E01000116,Barnet 009B,81000.00
E01000117,Barnet 010A,81000.00
E01000118,Barnet 010B,81250.00
E01000119,Barnet 009C,81250.00
E01000120,Barnet 009D,81452.00
E01000121,Barnet 010C,81500.00
E01000122,Barnet 009E,81500.00
E01000123,Barnet 010D,81500.00
E01000124,Barnet 010E,81750.00
E01000125,Barnet 024A,81750.00
E01000126,Barnet 026A,82000.00
E01000127,Barnet 024B,82000.00
E01000128,Barnet 024C,82000.00
E01000129,Barnet 024D,82000.00
E01000130,Barnet 021A,82250.00
E01000131,Barnet 024E,82250.00
E01000132,Barnet 021B,82375.00
E01000133,Barnet 021C,82500.00
E01000134,Barnet 024F,82500.00
E01000135,Barnet 038A,82500.00
E01000136,Barnet 038B,82750.00
E01000137,Barnet 041A,82997.50
E01000138,Barnet 040A,83000.00
E01000139,Barnet 041B,83000.00
E01000140,Barnet 041C,83000.00
E01000141,Barnet 039A,83000.00
E01000142,Barnet 040B,83000.00
E01000143,Barnet 041D,83000.00
E01000144,Barnet 038C,83500.00
E01000145,Barnet 037A,83500.00
E01000146,Barnet 038D,83500.00
E01000147,Barnet 030A,83500.00
E01000148,Barnet 030B,83500.00
E01000150,Barnet 036A,83500.00
E01000151,Barnet 026B,83750.00
E01000152,Barnet 026C,83750.00
E01000153,Barnet 026D,83995.00
E01000154,Barnet 026E,84000.00
E01000155,Barnet 030D,84000.00
E01000156,Barnet 022A,84000.00
E01000157,Barnet 022B,84000.00
E01000158,Barnet 015A,84000.00
E01000159,Barnet 015B,84000.00
E01000160,Barnet 015C,84250.00
E01000161,Barnet 015D,84250.00
E01000162,Barnet 015E,84497.50
E01000163,Barnet 022C,84500.00
E01000164,Barnet 022D,84500.00
E01000165,Barnet 022E,84500.00
E01000166,Barnet 003A,84750.00
E01000167,Barnet 002A,84750.00
E01000168,Barnet 003B,84950.00
E01000169,Barnet 003C,84950.00
E01000170,Barnet 006A,84975.00
E01000171,Barnet 006B,84995.00
E01000172,Barnet 003D,84997.50
E01000173,Barnet 006C,84997.50
E01000174,Barnet 006D,85000.00
E01000175,Barnet 006E,85000.00
E01000176,Barnet 027A,85000.00
E01000177,Barnet 029A,85000.00
E01000178,Barnet 027B,85000.00
E01000179,Barnet 029B,85000.00
E01000180,Barnet 029C,85000.00
E01000181,Barnet 029D,85000.00
E01000182,Barnet 029E,85000.00
E01000183,Barnet 033A,85000.00
E01000184,Barnet 027C,85000.00
E01000185,Barnet 029F,85000.00
E01000186,Barnet 014A,85000.00
E01000187,Barnet 014B,85000.00
E01000188,Barnet 014C,85000.00
E01000189,Barnet 014D,85475.00
E01000190,Barnet 014E,85495.00
E01000191,Barnet 014F,85500.00
E01000192,Barnet 018A,85500.00
E01000193,Barnet 018B,85500.00
E01000194,Barnet 018C,85750.00
E01000195,Barnet 013A,85750.00
E01000196,Barnet 028A,85999.00
E01000197,Barnet 023A,86000.00
E01000198,Barnet 025A,86000.00
E01000199,Barnet 025B,86000.00
E01000200,Barnet 028B,86000.00
E01000201,Barnet 028C,86000.00
E01000202,Barnet 028D,86000.00
E01000203,Barnet 028E,86000.00
E01000204,Barnet 025C,86000.00
E01000205,Barnet 035A,86247.50
E01000206,Barnet 033B,86250.00
E01000207,Barnet 033C,86250.00
E01000208,Barnet 033D,86500.00
E01000209,Barnet 035B,86500.00
E01000210,Barnet 033E,86500.00
E01000211,Barnet 035C,86500.00
E01000212,Barnet 035D,86500.00
E01000213,Barnet 033F,86750.00
E01000214,Barnet 038E,86750.00
E01000215,Barnet 037B,86750.00
E01000216,Barnet 035E,86750.00
E01000217,Barnet 035F,86995.00
E01000218,Barnet 037C,87000.00
E01000219,Barnet 037D,87000.00
E01000220,Barnet 037E,87000.00
E01000221,Barnet 039B,87000.00
E01000222,Barnet 040C,87000.00
E01000223,Barnet 039C,87000.00
E01000224,Barnet 040D,87000.00
E01000225,Barnet 037F,87000.00
E01000226,Barnet 018D,87000.00
E01000227,Barnet 018E,87500.00
E01000228,Barnet 007A,87500.00
E01000229,Barnet 013B,87500.00
E01000230,Barnet 013C,87500.00
E01000231,Barnet 013D,87500.00
E01000232,Barnet 013E,87500.00
E01000233,Barnet 013F,87650.00
E01000234,Barnet 021D,87725.00
E01000235,Barnet 021E,87750.00
E01000236,Barnet 034A,87750.00
E01000237,Barnet 032A,87950.00
E01000238,Barnet 034B,87975.00
E01000239,Barnet 031A,87995.00
E01000240,Barnet 031B,88000.00
E01000241,Barnet 031C,88000.00
E01000242,Barnet 032B,88000.00
E01000243,Barnet 032C,88000.00
E01000244,Barnet 032D,88000.00
E01000245,Barnet 032E,88000.00
E01000246,Barnet 002B,88000.00
E01000247,Barnet 002C,88000.00
E01000248,Barnet 001A,88000.00
E01000249,Barnet 001B,88000.00
E01000250,Barnet 001C,88000.00
E01000251,Barnet 002D,88000.00
E01000252,Barnet 002E,88000.00
E01000253,Barnet 007B,88000.00
E01000254,Barnet 001D,88000.00
E01000255,Barnet 017A,88000.00
E01000256,Barnet 016A,88250.00
E01000257,Barnet 017B,88495.00
E01000258,Barnet 016B,88500.00
E01000259,Barnet 025D,88500.00
E01000260,Barnet 025E,88750.00
E01000261,Barnet 017C,88975.00
E01000262,Barnet 017D,89000.00
E01000263,Barnet 016C,89000.00
E01000264,Barnet 016D,89000.00
E01000265,Barnet 011A,89000.00
E01000266,Barnet 011B,89000.00
E01000267,Barnet 005A,89000.00
E01000268,Barnet 005B,89000.00
E01000269,Barnet 005C,89000.00
E01000270,Barnet 005D,89000.00
E01000271,Barnet 008A,89497.50
E01000272,Barnet 008B,89497.50
E01000273,Barnet 008C,89500.00
E01000274,Barnet 011C,89500.00
E01000275,Barnet 012A,89500.00
E01000276,Barnet 020A,89950.00
E01000277,Barnet 012B,89950.00
E01000278,Barnet 020B,89950.00
E01000279,Barnet 007C,89950.00
E01000280,Barnet 007D,89995.00
E01000281,Barnet 008D,89995.00
E01000282,Barnet 008E,89995.00
E01000283,Barnet 012C,89995.00
E01000284,Barnet 012D,89997.50
E01000285,Barnet 004A,90000.00
E01000286,Barnet 007E,90000.00
E01000287,Barnet 004B,90000.00
E01000288,Barnet 004C,90000.00
E01000289,Barnet 004D,90000.00
E01000290,Barnet 007F,90000.00
E01000291,Barnet 004E,90000.00
E01000292,Barnet 001E,90000.00
E01000293,Barnet 001F,90000.00
E01000294,Barnet 004F,90000.00
E01000295,Barnet 023B,90000.00
E01000296,Barnet 023C,90000.00
E01000297,Barnet 027D,90000.00
E01000298,Barnet 023D,90000.00
E01000299,Barnet 019A,90000.00
E01000300,Barnet 019B,90000.00
E01000301,Barnet 020C,90000.00
E01000302,Barnet 019C,90000.00
E01000303,Barnet 020D,90000.00
E01000304,Barnet 020E,90000.00
E01000305,Barnet 036B,90250.00
E01000306,Barnet 036C,90250.00
E01000307,Barnet 039D,90475.00
E01000308,Barnet 036D,90500.00
E01000309,Barnet 031D,90500.00
E01000310,Barnet 034C,90500.00
E01000311,Barnet 034D,90500.00
E01000312,Barnet 036E,90750.00
E01000313,Barnet 036F,90997.50
E01000314,Barnet 032F,91000.00
E01000315,Barnet 022F,91000.00
E01000316,Barnet 027E,91000.00
E01000317,Barnet 019D,91000.00
E01000318,Barnet 019E,91000.00
E01000319,Barnet 027F,91000.00
E01000320,Barnet 011D,91000.00
E01000321,Barnet 012E,91000.00
E01000322,Barnet 011E,91250.00
E01000323,Barnet 019F,91250.00
E01000324,Barnet 015F,91250.00
E01033572,Barnet 030E,91497.50
E01033573,Barnet 030F,91500.00
E01000325,Bexley 014A,91500.00
E01000326,Bexley 014B,91500.00
E01000327,Bexley 017A,91750.00
E01000328,Bexley 017B,91950.00
E01000329,Bexley 017C,91997.50
E01000330,Bexley 017D,92000.00
E01000331,Bexley 017E,92000.00
E01000332,Bexley 005A,92000.00
E01000333,Bexley 003A,92000.00
E01000334,Bexley 006A,92000.00
E01000335,Bexley 003B,92000.00
E01000336,Bexley 003C,92000.00
E01000337,Bexley 003D,92000.00
E01000338,Bexley 003E,92000.00
E01000339,Bexley 025A,92062.50
E01000340,Bexley 018A,92125.00
E01000341,Bexley 022A,92250.00
E01000342,Bexley 022B,92475.00
E01000343,Bexley 022C,92500.00
E01000344,Bexley 025B,92500.00
E01000345,Bexley 022D,92500.00
