Code,Name,Median_2001,Median_2011
E01000001,City of London 001A,45630.00,65520.00
E01000002,City of London 001B,44970.00,66300.00
E01000003,City of London 001C,36330.00,54140.00
E01000005,City of London 001E,31530.00,46740.00
E01032739,City of London 001F,44710.00,62460.00
E01032740,City of London 001G,41510.00,61830.00
E01000006,Barking and Dagenham 016A,26360.00,38200.00
E01000007,Barking and Dagenham 015A,22310.00,32940.00
E01000008,Barking and Dagenham 015B,22010.00,31430.00
E01000009,Barking and Dagenham 016B,25010.00,35230.00
E01000010,Barking and Dagenham 015C,22740.00,35190.00
E01000011,Barking and Dagenham 016C,24080.00,34830.00
E01000012,Barking and Dagenham 015D,23830.00,33780.00
E01000013,Barking and Dagenham 013A,22480.00,33190.00
E01000014,Barking and Dagenham 013B,22980.00,32850.00
E01000015,Barking and Dagenham 009A,22400.00,32520.00
E01000016,Barking and Dagenham 009B,22880.00,33720.00
E01000017,Barking and Dagenham 009C,22440.00,33120.00
E01000018,Barking and Dagenham 009D,22850.00,33750.00
E01000019,Barking and Dagenham 023A,23550.00,33990.00
E01000020,Barking and Dagenham 023B,22870.00,34070.00
E01000021,Barking and Dagenham 008A,23640.00,31980.00
E01000022,Barking and Dagenham 008B,24070.00,34440.00
E01000023,Barking and Dagenham 008C,24410.00,34270.00
E01000024,Barking and Dagenham 008D,23710.00,33810.00
E01000025,Barking and Dagenham 008E,23130.00,33790.00
E01000027,Barking and Dagenham 001A,21730.00,32750.00
E01000028,Barking and Dagenham 001B,22570.00,31780.00
E01000029,Barking and Dagenham 001C,26080.00,35540.00
E01000030,Barking and Dagenham 001D,21800.00,31830.00
E01000031,Barking and Dagenham 002A,28030.00,38150.00
E01000032,Barking and Dagenham 002B,25590.00,36230.00
E01000033,Barking and Dagenham 006A,23260.00,33730.00
E01000034,Barking and Dagenham 003A,25370.00,36300.00
E01000035,Barking and Dagenham 010A,25940.00,37170.00
E01000036,Barking and Dagenham 010B,26110.00,38460.00
E01000037,Barking and Dagenham 003B,28620.00,40510.00
E01000038,Barking and Dagenham 003C,27310.00,38390.00
E01000039,Barking and Dagenham 003D,29520.00,38810.00
E01000040,Barking and Dagenham 019A,21890.00,33570.00
E01000041,Barking and Dagenham 017A,22660.00,33500.00
E01000042,Barking and Dagenham 017B,22330.00,32270.00
E01000043,Barking and Dagenham 019B,23990.00,34390.00
E01000044,Barking and Dagenham 016D,25530.00,35370.00
E01000045,Barking and Dagenham 017C,23070.00,34060.00
E01000046,Barking and Dagenham 017D,23430.00,33080.00
E01000048,Barking and Dagenham 021B,18950.00,28270.00
E01000049,Barking and Dagenham 021C,20010.00,29960.00
E01000050,Barking and Dagenham 019C,22220.00,32130.00
E01000051,Barking and Dagenham 021D,19210.00,28400.00
E01000052,Barking and Dagenham 019D,23320.00,32570.00
E01000053,Barking and Dagenham 020A,23950.00,33100.00
E01000054,Barking and Dagenham 018A,22560.00,34260.00
E01000055,Barking and Dagenham 018B,22790.00,34210.00
E01000056,Barking and Dagenham 018C,23030.00,33890.00
E01000057,Barking and Dagenham 012A,22700.00,33940.00
E01000058,Barking and Dagenham 018D,21770.00,34470.00
E01000059,Barking and Dagenham 013C,22440.00,33460.00
E01000060,Barking and Dagenham 006B,22130.00,32960.00
E01000061,Barking and Dagenham 006C,21360.00,29130.00
E01000062,Barking and Dagenham 006D,22820.00,33600.00
E01000063,Barking and Dagenham 004A,22870.00,32930.00
E01000064,Barking and Dagenham 006E,22590.00,32390.00
E01000065,Barking and Dagenham 007A,22120.00,31210.00
E01000066,Barking and Dagenham 011A,28830.00,39010.00
E01000067,Barking and Dagenham 011B,29910.00,40040.00
E01000068,Barking and Dagenham 016E,28940.00,41560.00
E01000069,Barking and Dagenham 011C,31130.00,42310.00
E01000070,Barking and Dagenham 011D,31240.00,41110.00
E01000071,Barking and Dagenham 011E,30630.00,39900.00
E01000072,Barking and Dagenham 017E,22770.00,31020.00
E01000073,Barking and Dagenham 012B,22200.00,33160.00
E01000074,Barking and Dagenham 012C,22780.00,33140.00
E01000075,Barking and Dagenham 012D,22840.00,33810.00
E01000076,Barking and Dagenham 012E,22060.00,32160.00
E01000077,Barking and Dagenham 008F,23030.00,32110.00
E01000078,Barking and Dagenham 007B,22630.00,32430.00
E01000079,Barking and Dagenham 009E,22720.00,32480.00
E01000080,Barking and Dagenham 007C,22650.00,32220.00
E01000081,Barking and Dagenham 007D,22680.00,33260.00
E01000082,Barking and Dagenham 007E,22020.00,33340.00
E01000083,Barking and Dagenham 007F,22470.00,32870.00
E01000084,Barking and Dagenham 013D,23100.00,33520.00
E01000085,Barking and Dagenham 013E,22660.00,31730.00
E01000086,Barking and Dagenham 013F,22790.00,34260.00
E01000087,Barking and Dagenham 020B,23060.00,33830.00
E01000088,Barking and Dagenham 020C,24610.00,35690.00
E01000089,Barking and Dagenham 020D,24870.00,34930.00
E01000090,Barking and Dagenham 020E,24540.00,35550.00
E01000091,Barking and Dagenham 022A,21740.00,30860.00
E01000092,Barking and Dagenham 019E,23510.00,34850.00
E01000093,Barking and Dagenham 022B,21170.00,31020.00
E01000094,Barking and Dagenham 022C,24370.00,35620.00
E01000095,Barking and Dagenham 018E,25500.00,35960.00
E01000096,Barking and Dagenham 022D,22740.00,31070.00
E01000097,Barking and Dagenham 023C,23200.00,33780.00
E01000098,Barking and Dagenham 023D,23380.00,33300.00
E01000099,Barking and Dagenham 023E,23040.00,34610.00
E01000100,Barking and Dagenham 004B,22950.00,33830.00
E01000101,Barking and Dagenham 004C,22720.00,33320.00
E01000102,Barking and Dagenham 007G,22990.00,33890.00
E01000103,Barking and Dagenham 014A,23030.00,32220.00
E01000104,Barking and Dagenham 014B,21940.00,31660.00
E01000105,Barking and Dagenham 014C,21940.00,30900.00
E01000106,Barking and Dagenham 014D,22050.00,31400.00
E01000107,Barking and Dagenham 010C,25090.00,35570.00
E01000108,Barking and Dagenham 010D,24820.00,35200.00
E01000109,Barking and Dagenham 004D,25890.00,36940.00
E01000110,Barking and Dagenham 002C,28770.00,40760.00
E01000111,Barking and Dagenham 002D,25540.00,36090.00
E01000112,Barking and Dagenham 002E,27290.00,37290.00
E01000113,Barking and Dagenham 002F,28590.00,38690.00
E01000114,Barking and Dagenham 004E,26170.00,36990.00
E01032580,Barking and Dagenham 023F,24000.00,33720.00
E01033587,Barking and Dagenham 021E,22420.00,31740.00
E01033588,Barking and Dagenham 021F,20350.00,31300.00
E01000115,Barnet 009A,31110.00,43890.00
E01000116,Barnet 009B,28380.00,40180.00
E01000117,Barnet 010A,26860.00,37810.00
E01000118,Barnet 010B,27500.00,38340.00
E01000119,Barnet 009C,30120.00,41920.00
E01000120,Barnet 009D,30310.00,42420.00
E01000121,Barnet 010C,24900.00,32850.00
E01000122,Barnet 009E,30000.00,41310.00
E01000123,Barnet 010D,28130.00,37200.00
E01000124,Barnet 010E,25810.00,33870.00
E01000125,Barnet 024A,20210.00,29120.00
E01000126,Barnet 026A,20650.00,28270.00
E01000127,Barnet 024B,20660.00,29050.00
E01000128,Barnet 024C,21460.00,30460.00
E01000129,Barnet 024D,19160.00,27720.00
E01000130,Barnet 021A,21850.00,31010.00
E01000131,Barnet 024E,23810.00,31990.00
E01000132,Barnet 021B,21180.00,30800.00
E01000133,Barnet 021C,20560.00,29660.00
E01000134,Barnet 024F,21940.00,29990.00
E01000135,Barnet 038A,34370.00,44720.00
E01000136,Barnet 038B,37470.00,59440.00
